1	X_PREDICATE_OF	12	12
)	PUNCTpunctX	1	12
.	PUNCTpunctX	1	12
the	DETdetNOUN	lstm	13
second	ADJamodNOUN	lstm	13
language	NOUNrev_nsubjNOUN	lstm	13
13	ABOUT	lstm	13
be	AUXcopNOUN	language	13
essentially	ADVadvmodNOUN	language	13
a	DETdetNOUN	language	13
recurrent	ADJamodNOUN	language	13
neural	ADJamodNOUN	language	13
network	NOUNcompoundNOUN	language	13
network	NOUNinCOMPOUND	network language	13
language	NOUNinCOMPOUND	network language	13
13	ABOUT	network language	13
language	NOUN_PREDICATE_OF	13	13
23	NUMnummodNOUN	language	13
,	PUNCTpunctNOUN	language	13
30	NUMnummodNOUN	language	13
]	PUNCTpunctNOUN	language	13
except	SCONJmarkVERB	condition	13
that	SCONJfixedSCONJ	except	13
it	PRONnsubj:passVERB	condition	13
be	AUXaux:passVERB	condition	13
condition	VERBadvclNOUN	language	13
on	ADPcaseNOUN	sequence	13
the	DETdetNOUN	sequence	13
input	NOUNcompoundNOUN	sequence	13
input	NOUNinCOMPOUND	input sequence	13
sequence	NOUNinCOMPOUND	input sequence	13
13	ABOUT	input sequence	13
condition	VERBrev_oblNOUN	sequence	13
13	ABOUT	sequence	13
.	PUNCTpunctNOUN	language	13
the	DETdetPROPN	LSTM	14
LSTM	PROPNnmod:possNOUN	ability	14
's	PARTcasePROPN	LSTM	14
make	VERBrev_nsubjNOUN	ability	14
14	ABOUT	ability	14
to	PARTmarkNOUN	data	14
on	ADPcaseNOUN	data	14
data	NOUNnmodNOUN	ability	14
with	ADPcaseNOUN	dependency	14
long	ADJamodNOUN	range	14
range	NOUNcompoundNOUN	dependency	14
range	NOUNinCOMPOUND	range dependency	14
dependency	NOUNinCOMPOUND	range dependency	14
14	ABOUT	range dependency	14
temporal	ADJamodNOUN	dependency	14
dependency	NOUNnmodNOUN	data	14
make	VERB_PREDICATE_OF	14	14
it	PRONobjVERB	make	14
a	DETdetNOUN	choice	14
natural	ADJamodNOUN	choice	14
choice	NOUNxcompVERB	make	14
for	ADPcasePRON	this	14
this	PRONnmodNOUN	choice	14
to	ADPcaseNOUN	lag	14
the	DETdetNOUN	lag	14
considerable	ADJamodNOUN	time	14
time	NOUNcompoundNOUN	lag	14
time	NOUNinCOMPOUND	time lag	14
lag	NOUNinCOMPOUND	time lag	14
14	ABOUT	time lag	14
lag	NOUNnmodNOUN	choice	14
between	ADPcaseNOUN	input	14
the	DETdetNOUN	input	14
input	NOUNnmodNOUN	lag	14
and	CCONJccNOUN	output	14
they	PRONnmod:possNOUN	output	14
correspond	VERBamodNOUN	output	14
output	NOUNconjNOUN	input	14
(	PUNCTpunctNOUN	fig	14
fig	NOUNapposNOUN	output	14
.	PUNCTpunctVERB	make	14
1	X_PREDICATE_OF	15	15
)	PUNCTpunctX	1	15
.	PUNCTpunctX	1	15
there	PRONexplVERB	be	16
have	AUXauxVERB	be	16
be	VERB_PREDICATE_OF	16	16
a	DETdetNOUN	number	16
be	VERBrev_nsubjNOUN	number	16
16	ABOUT	number	16
of	ADPcaseNOUN	attempt	16
related	ADJamodNOUN	attempt	16
attempt	NOUNnmodNOUN	number	16
to	PARTmarkVERB	address	16
address	VERBaclNOUN	attempt	16
the	DETdetNOUN	sequence	16
general	ADJamodNOUN	sequence	16
address	VERBrev_objNOUN	sequence	16
16	ABOUT	sequence	16
to	ADPcaseNOUN	sequence	16
address	VERBrev_oblNOUN	sequence	16
16	ABOUT	sequence	16
with	ADPcaseNOUN	network	16
neural	ADJamodNOUN	network	16
network	NOUNnmodNOUN	sequence	16
.	PUNCTpunctVERB	be	16
we	PRONnmod:possNOUN	approach	17
related	ADJrev_nsubjNOUN	approach	17
17	ABOUT	approach	17
be	AUXcopADJ	related	17
closely	ADVadvmodADJ	related	17
related	ADJ_PREDICATE_OF	17	17
to	ADPcasePROPN	Kalchbrenner	17
Kalchbrenner	PROPNoblADJ	related	17
and	CCONJccADJ	first	17
Blunsom	PROPNnsubjADJ	first	17
be	AUXcopADJ	first	17
the	DETdetADJ	first	17
first	ADJconjADJ	related	17
to	PARTmarkVERB	map	17
map	VERBcsubjADJ	first	17
the	DETdetNOUN	sentence	17
entire	ADJamodNOUN	sentence	17
input	NOUNcompoundNOUN	sentence	17
input	NOUNinCOMPOUND	input sentence	17
sentence	NOUNinCOMPOUND	input sentence	17
17	ABOUT	input sentence	17
map	VERBrev_objNOUN	sentence	17
17	ABOUT	sentence	17
to	ADPcaseNOUN	vector	17
map	VERBrev_oblNOUN	vector	17
17	ABOUT	vector	17
,	PUNCTpunctADJ	related	17
and	CCONJccADJ	related	17
be	AUXcopADJ	related	17
related	ADJconjADJ	first	17
to	ADPcasePROPN	al	17
Cho	PROPNcompoundPROPN	al	17
Cho	PROPNinCOMPOUND	Cho al	17
al	PROPNinCOMPOUND	Cho al	17
17	ABOUT	Cho al	17
et	PROPNcompoundPROPN	al	17
et	PROPNinCOMPOUND	et al	17
al	PROPNinCOMPOUND	et al	17
17	ABOUT	et al	17
al	PROPNoblADJ	related	17
.	PUNCTpunctADJ	related	17
[	PUNCTpunctX	5	18
5	XnummodVERB	use	18
]	PUNCTpunctX	5	18
use	VERBrev_nsubj:passNOUN	latter	18
18	ABOUT	latter	18
be	AUXaux:passVERB	use	18
use	VERB_PREDICATE_OF	18	18
only	ADVadvmodVERB	rescore	18
for	SCONJmarkVERB	rescore	18
rescore	VERBadvclVERB	use	18
rescore	VERBrev_objNOUN	hypotheses	18
18	ABOUT	hypotheses	18
produce	VERBaclNOUN	hypotheses	18
